"","GRTS_ID","Species","MaxN","deployment_ID","Code","Time (HMS)","OpCode","TapeReader","Family","Genus","Has fed","Species_latin","Order","Functional_group","Simplified_functional_group","Commercial_group","ID","VIDEO_ID.x","Date","Stereo / mono","RIG","Target Habitat","Broadscale_habitat","Mixed","Main Habitat","Secondary Habitat","Relief score","Analysed","Lat","Lon","Time.IN (BST)","Time.OUT (BST)","Depth (m).x","Temp (c).x","GTRS Latitude","GTRS Longitude","Time of high tide","Height of tide","Time of low tide","Bait.x","ALT_ID.x","VIDEO_ID.y","Broadscale","Depth (m).y","Temp (c).y","GTRS Latit","GTRS Longi","Time of hi","Height of","Time of lo","Height o_1","Bait.y","ALT_ID.y","Aspect_mean","Slope_mean","Rug_mean","Rug_range","Remoteness","MCZ Status","SAC Status","Exposure","Time_settled","end","obs_time"
"11",2,"Shore_crab",1,"3201",107381,00:23:07,"BEN_3201","OE","Carcinidae","Carcinus","No","Carcinus maenas","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:23:07
"12",2,"Small_spotted_catshark",1,"3201",105815,00:38:53,"BEN_3201","OE","Scyliorhinidae","Scyliorhinus","No","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:38:53
"13",2,"Spiny_spider_crab",1,"3201",107347,00:21:51,"BEN_3201","OE","Majidae","Maja","No","Maja brachydactyla","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:21:51
"14",2,"Velvet_swimming_crab",2,"3201",107398,00:31:53,"BEN_3201","OE","Portunidae","Necora","No","Necora puber","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:31:53
"15",2,"juvenile_spp",30,"3201",5,00:33:23,"BEN_3201","OE","Other","juvenile_spp","No","NA","NA","NA","NA","NA","249","BEN_3201","05/07/2023","Stereo","267","Subtidal_sediments","Subtidal sediments","N","Subtidal_sediments","","0","Y","49.92429","-6.33322","19:06:00","20:19:00","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","250 MACKEREL","N","BEN_3201","Subtidal_sediments","16.8","14.9","49.92407209","-6.334152904","19:11:00","5.7","NA","NA","250 MACKEREL","N","204.6196054","0.517724439","0.580664189","0.891122162","1109.8","0","1","114.6","00:02:07",2024-12-04 01:02:07,2024-12-04 00:33:23
"16",3,"Dog_whelk",37,"1045",140403,00:15:33,"BEN_1045","AS","Muricidae","Nucella","No","Nucella lapillus","Neogastropoda","Other demersal invertebrates","Demersal invertebrates","Molluscs","17","BEN_1045","02/06/2022","Mono","Mono","Infralittoral_rock","Subtidal sediments","Y","Subtidal_sediments","Kelp","0","Y","49.94241","-6.29133","14:29:00","15:44:00","8.7","13","49.94214257","-6.290863855","NA","1.38","13:28:00","250 MACKEREL","MSC_1045","BEN_1045","Subtidal_sediments","8.7","13","49.94214257","-6.290863855","NA","NA","13:28:00","1.38","250 MACKEREL","MSC_1045","161.7044989","0.857391417","1.045709862","2.608518019","688.6","0","1","71.7","00:00:18",2024-12-04 01:00:18,2024-12-04 00:15:33
"17",3,"Hermet_crab",1,"1045",107232,00:03:35,"BEN_1045","AS","Paguridae","Pagurus","No","Pagurus bernhardus","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","17","BEN_1045","02/06/2022","Mono","Mono","Infralittoral_rock","Subtidal sediments","Y","Subtidal_sediments","Kelp","0","Y","49.94241","-6.29133","14:29:00","15:44:00","8.7","13","49.94214257","-6.290863855","NA","1.38","13:28:00","250 MACKEREL","MSC_1045","BEN_1045","Subtidal_sediments","8.7","13","49.94214257","-6.290863855","NA","NA","13:28:00","1.38","250 MACKEREL","MSC_1045","161.7044989","0.857391417","1.045709862","2.608518019","688.6","0","1","71.7","00:00:18",2024-12-04 01:00:18,2024-12-04 00:03:35
"18",3,"Lesser_sandeel",48,"1045",126752,00:44:42,"BEN_1045","AS","Ammodytidae","Ammodytes","No","Ammodytes tobianus","Trachiniformes","Small demersals (<30 cm)","Demersal fish","Other fishes & inverts","17","BEN_1045","02/06/2022","Mono","Mono","Infralittoral_rock","Subtidal sediments","Y","Subtidal_sediments","Kelp","0","Y","49.94241","-6.29133","14:29:00","15:44:00","8.7","13","49.94214257","-6.290863855","NA","1.38","13:28:00","250 MACKEREL","MSC_1045","BEN_1045","Subtidal_sediments","8.7","13","49.94214257","-6.290863855","NA","NA","13:28:00","1.38","250 MACKEREL","MSC_1045","161.7044989","0.857391417","1.045709862","2.608518019","688.6","0","1","71.7","00:00:18",2024-12-04 01:00:18,2024-12-04 00:44:42
"19",3,"Small_spotted_catshark",1,"1045",105815,00:03:28,"BEN_1045","AS","Scyliorhinidae","Scyliorhinus","No","Scyliorhinus canicula","Carcharhiniformes","Small to medium sharks (<90 cm)","Sharks and rays","Sharks & rays","17","BEN_1045","02/06/2022","Mono","Mono","Infralittoral_rock","Subtidal sediments","Y","Subtidal_sediments","Kelp","0","Y","49.94241","-6.29133","14:29:00","15:44:00","8.7","13","49.94214257","-6.290863855","NA","1.38","13:28:00","250 MACKEREL","MSC_1045","BEN_1045","Subtidal_sediments","8.7","13","49.94214257","-6.290863855","NA","NA","13:28:00","1.38","250 MACKEREL","MSC_1045","161.7044989","0.857391417","1.045709862","2.608518019","688.6","0","1","71.7","00:00:18",2024-12-04 01:00:18,2024-12-04 00:03:28
"20",3,"Velvet_swimming_crab",2,"1045",107398,00:20:20,"BEN_1045","AS","Portunidae","Necora","No","Necora puber","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","17","BEN_1045","02/06/2022","Mono","Mono","Infralittoral_rock","Subtidal sediments","Y","Subtidal_sediments","Kelp","0","Y","49.94241","-6.29133","14:29:00","15:44:00","8.7","13","49.94214257","-6.290863855","NA","1.38","13:28:00","250 MACKEREL","MSC_1045","BEN_1045","Subtidal_sediments","8.7","13","49.94214257","-6.290863855","NA","NA","13:28:00","1.38","250 MACKEREL","MSC_1045","161.7044989","0.857391417","1.045709862","2.608518019","688.6","0","1","71.7","00:00:18",2024-12-04 01:00:18,2024-12-04 00:20:20
"21",4,"Ballan_wrasse",1,"3004",126965,00:01:47,"BEN_3004","OE","Labridae","Labrus","No","Labrus bergylta","Labriformes","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:01:47
"22",4,"Common_spiny_lobster",1,"3004",107703,01:00:51,"BEN_3004","OE","Palinuridae","Palinurus","No","Palinurus elephas","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 01:00:51
"23",4,"Common_starfish",1,"3004",123776,00:24:49,"BEN_3004","OE","Asteriidae","Asterias","No","Asterias rubens","Forcipulatida","Other demersal invertebrates","Demersal invertebrates","Other fishes & inverts","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:24:49
"24",4,"Common_urchin",1,"3004",135302,00:01:25,"BEN_3004","OE","Echinidae","Echinus","No","Cyanea lamarckii","Semaeostomeae","Cnidaria","","","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:01:25
"25",4,"Conger_eel",2,"3004",126285,00:19:23,"BEN_3004","OE","Congridae","Conger","No","Conger conger","Anguilliformes","Large demersals (>=90 cm)","Demersal fish","Other fishes & inverts","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:19:23
"26",4,"Cuckoo_wrasse",2,"3004",151501,00:01:35,"BEN_3004","OE","Labridae","Labrus","No","Labrus mixtus","Labriformes","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:01:35
"27",4,"European_lobster",1,"3004",107253,00:06:37,"BEN_3004","OE","Nephropidae","Homarus","No","Homarus gammarus","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:06:37
"28",4,"Goldsinny_wrasse",2,"3004",126964,00:02:26,"BEN_3004","OE","Labridae","Ctenolabrus","No","Ctenolabrus rupestris","Labriformes","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:02:26
"29",4,"Pollack",6,"3004",126440,00:01:25,"BEN_3004","OE","Gadidae","Pollachius","No","Pollachius pollachius","Gadiformes","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:01:25
"30",4,"Poor_cod",3,"3004",126445,00:09:29,"BEN_3004","OE","Gadidae","Trisopterus","No","Trisopterus luscus","Gadiformes","Small demersals (<30 cm)","Demersal fish","Perch likes","29","BEN_3004","14/06/2022","Stereo","4","Subtidal_sediments","Circalittoral rock","N","Sponges_fans_corals","","4","Y","49.9012","-6.42119","18:28:00","10:12:00","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","250 MACKEREL","MSC_1070","BEN_3004","Circalittoral_rock","31.3","12.95","49.90135369","-6.421241943","17:28:00","5.69","NA","NA","250 MACKEREL","MSC_1070","226.4456646","3.176368591","3.620663402","8.282420814","4621.9","0","1","136.4","00:01:18",2024-12-04 01:01:18,2024-12-04 00:09:29
"31",5,"Ballan_wrasse",1,"1011",126965,00:00:14,"BEN_1011","AS","Labridae","Labrus","No","Labrus bergylta","Labriformes","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:00:14
"32",5,"Cuckoo_wrasse",2,"1011",151501,00:00:24,"BEN_1011","AS","Labridae","Labrus","No","Labrus mixtus","Labriformes","Medium reef assoc. fish (30 - 89 cm)","Reef associated fish","Perch likes","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:00:24
"33",5,"Edible_crab",1,"1011",107276,00:12:30,"BEN_1011","AS","Cancridae","Cancer","No","Cancer pagurus","Decapoda","Lobsters, crabs","Crustaceans","Crustaceans","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:12:30
"34",5,"Goldsinny_wrasse",1,"1011",126964,00:00:56,"BEN_1011","AS","Labridae","Ctenolabrus","No","Ctenolabrus rupestris","Labriformes","Small reef assoc. fish (<30 cm)","Reef associated fish","Perch likes","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:00:56
"35",5,"Pollack",9,"1011",126440,00:00:09,"BEN_1011","AS","Gadidae","Pollachius","No","Pollachius pollachius","Gadiformes","Large benthopelagics (>=90 cm)","Benthopelagic fish","Cod likes","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:00:09
"36",5,"Poor_cod",1,"1011",126445,00:13:06,"BEN_1011","AS","Gadidae","Trisopterus","No","Trisopterus luscus","Gadiformes","Small demersals (<30 cm)","Demersal fish","Perch likes","5","BEN_1011","23/05/2022","Mono","Mono","Infralittoral_rock","Infralittoral rock","N","Kelp","","2","Y","49.93579","-6.26553","11:02:00","12:20:00","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","250 MACKEREL","MSC_1011","BEN_1011","Infralittoral_rock","17.7","11.81","49.93572633","-6.265644226","11:51:00","4.43","NA","NA","250 MACKEREL","MSC_1011","165.5526629","3.255576522","4.051377365","5.723164797","1281.5","1","1","75.6","00:00:40",2024-12-04 01:00:40,2024-12-04 00:13:06
